feature,importance_mean,importance_std
RAZAO_ING_MAT,0.3590339387316507,0.008623195206913986
QT_ING,0.235495802356065,0.0032165978266694532
RAZAO_CONCLUSAO_EVASAO,0.1979292125531411,0.035681938822783095
TAXA_CONCLUSAO,0.10225238769892109,0.03127299985440541
QT_MAT,0.08103598006950694,0.0013073854975765554
TP_ORGANIZACAO_ACADEMICA,0.01754750321521365,0.001060976561586652
RAZAO_FINANC_EAD,0.0031394866394451174,0.0020000564437029117
TP_REDE,0.002156665713781063,0.0018012319772250467
TP_CATEGORIA_ADMINISTRATIVA,0.0007154417752224547,0.0014308835504449095
INDICE_FINANCIAMENTO,0.000693581247052859,0.001387162494105718
TP_GRAU_ACADEMICO,0.0,0.0
TP_DIMENSAO,0.0,0.0
TP_MODALIDADE_ENSINO,0.0,0.0
QT_INSCRITO_TOTAL,0.0,0.0
QT_VG_TOTAL,0.0,0.0
PROPORCAO_FEM,0.0,0.0
PROPORCAO_18_24,0.0,0.0
CURSO_PEQUENO,0.0,0.0
FINANC_ALTO,0.0,0.0
RAZAO_FEM_18_24,0.0,0.0
TAMANHO_CATEGORIA,0.0,0.0
TAXA_PREENCHIMENTO,0.0,0.0
RAZAO_INSCRITOS_VAGAS,0.0,0.0
